Date;Time;Code;Object;Area;Status;Comment;CO2abs;CO2buf;dCO2ZP;dCO2MP;H2Oabs;H2Obuf;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Tmin/max;PARtop;PARamb;Inside Fan;rh ;E;VPD;GH2O;A;ci;ca;wa;Red x T;Green x T;Blue x T;White x T;RGBW x T;PAR_LP
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;arb. unit;arb. unit;arb. unit;arb. unit;arb. unit;µmol m-2 s-1
2024-02-14;09:54:49;ZPc010;0000;8;AFC2FF041FF----------1FF------;;500.2348;500.5087;-1.740127;-1.740127;8570.765;8567.359;582.8383;582.8383;1221.85;99.588;1856;1570;15.00;14.94;16.34;14.38;2.8;0.2;4;31.90;;;;;;498.81;9149.8;0.00;0.00;0.00;0.00;0.00;0
2024-02-14;10:11:00;MP_010;0001;8;AFC2FF041FF----------1FF------;;491.671;491.5603;-1.740127;3.671603;9204.866;9156.884;582.8383;10213.78;1206.25;99.572;2003;1658;15.00;14.94;17.97;14.37;0.2;0.1;4;86.96;14.79968;-1.765569;-8382.385;-15.51445;495.4221;496.94;18787.8;0.00;0.00;0.00;0.00;0.00;0
2024-02-14;10:46:40;MP_010;0001;8;AFC2FF041FF----------1FF------;;496.4731;496.3492;-1.740127;-19.57284;11182.55;11159.1;582.8383;9646.157;1199.12;99.570;2203;1778;15.00;14.97;16.80;14.15;525.3;0.2;4;89.32;13.86537;-3.196186;-4338.099;20.09487;488.1326;478.50;20222.4;32.40;30.00;48.90;38.70;150.00;0
2024-02-14;11:10:35;MP_010;0001;8;AFC2FF041FF----------1FF------;;495.3132;495.1157;-1.740127;3.643684;12039.53;12021.78;582.8383;9103.463;1191.93;99.573;2280;1822;14.99;14.98;19.54;14.23;0.5;0.6;4;88.73;12.96121;-3.515159;-3687.234;-14.50797;497.058;500.46;20542.4;0.00;0.00;0.00;0.00;0.00;0
2024-02-14;11:47:44;MP_010;0001;8;AFC2FF041FF----------1FF------;;491.048;490.8489;-1.740127;-15.783;12682.5;12675.77;582.8383;8940.896;1192.28;99.579;2334;1846;15.00;15.00;16.90;14.05;500.4;0.4;4;89.06;12.72404;-3.990458;-3188.616;14.86183;487.0785;476.81;21033.8;41.04;38.00;61.94;49.02;190.00;0
2024-02-14;12:04:32;MP_010;0001;8;AFC2FF041FF----------1FF------;;486.7907;487.3609;-1.740127;3.504414;12937.07;12924.91;582.8383;8811.299;1195.06;99.583;2351;1856;15.00;15.00;18.95;14.27;0.5;0.1;4;89.17;12.55752;-4.11506;-3051.601;-14.02152;488.6819;492.70;21153.4;0.00;0.00;0.00;0.00;0.00;0
2024-02-14;12:26:16;MP_010;0001;8;AFC2FF041FF----------1FF------;;486.2002;486.4832;-1.740127;-14.53576;13108.11;13104.56;582.8383;8756.541;1194.89;99.571;2366;1865;15.00;14.97;16.79;14.04;546.6;0.2;4;89.01;12.47375;-4.279687;-2914.64;13.20252;483.9921;473.73;21278.3;37.80;35.00;57.05;45.15;175.00;0
2024-02-14;12:42:51;MP_010;0001;8;AFC2FF041FF----------1FF------;;485.7296;485.7433;-1.740127;3.093391;13347.29;13337.24;582.8383;8594.943;1196.38;99.540;2375;1870;15.00;14.99;19.25;14.30;0.5;0.1;4;88.86;12.24325;-4.320315;-2833.878;-13.23481;486.5987;490.59;21349.4;0.00;0.00;0.00;0.00;0.00;0
2024-02-14;13:15:50;MP_010;0001;8;AFC2FF041FF----------1FF------;;486.1051;485.929;-1.740127;-12.86387;13472.75;13470.14;582.8383;8548.195;1195.13;99.539;2386;1877;15.00;14.94;16.73;14.02;511.1;0.3;4;88.86;12.16022;-4.460036;-2726.484;10.84469;484.3051;474.76;21435.5;37.80;35.00;57.05;45.15;175.00;0
