Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station"
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s
1/5/2023,18:43:21,MP_010,4,8,AFF2FF041FF-------------------,,439.8523,439.8408,-0.9922487,-1.267815,9656.481,9658.94,1777.046,1780.991,1249.79,99.233,1934,1677,5.71,6.55,5.48,4.1,439.9,0.6,3,83.51,6.22E-03,0.1218012,51.08432,0.4277658,426.449,439.59,9662.9,938.7,7.03,3.53,6.333,74.714,1.01
1/7/2023,13:12:36,MP_010,4,8,AFF2FF041FF-------------------,,442.1703,442.291,-1.17268,-1.340751,10102.08,10095.21,1825.325,3005.679,1249.75,99.575,1980,1705,8.18,9.05,7.85,6.4,1228.8,0.4,3,84.26,1.864961,0.2897649,6436.118,-0.56203,442.0838,442.15,11275.6,1843.7,7.03,28.24,5.877,81.975,2.52
1/9/2023,11:45:21,MP_010,4,8,AFF2FF041FF-------------------,,449.637,449.4215,-0.8429008,-0.8627135,9965.304,9962.586,1180.595,1349.18,1249.78,98.49,1707,1521,5.59,5.78,5.55,5.29,423.4,0.2,3,89.04,0.2660612,-0.7901351,-336.7288,-0.08859564,449.4667,449.32,10131.2,681.2,7.13,15.88,3.791,96.887,0.5
1/12/2023,9:19:35,MP_010,4,8,AFF2FF041FF-------------------,,446.5811,446.6089,-0.7144691,-0.6730284,8805.093,8796.023,658.476,1075.85,1249.8,99.394,1522,1395,3.26,3.21,3.39,2.75,423.3,0.2,3,87.53,0.6581067,-1.487923,-442.2989,-0.3587067,446.4557,446.68,9213.4,691.2,7.1,11.76,3.191,87.466,1.51
1/12/2023,12:04:16,MP_010,4,8,AFF2FF041FF-------------------,,446.5639,446.7194,-0.7800869,-0.795691,8813.579,8806.048,1207.389,1522.995,1249.69,99.159,1573,1431,4.02,4.31,4.12,2.88,355.2,0.1,3,85.3,0.4975484,-0.7494886,-663.8506,-0.1979171,446.8326,446.78,9121.7,666.2,7.05,10.59,4.041,84.077,2.01
1/14/2023,15:10:22,MP_010,4,8,AFF2FF041FF-------------------,,446.8011,446.8105,-0.2778425,-1.231281,7155.506,7155.451,426.2,3322.146,1249.72,98.377,1655,1493,5.72,5.2,6.22,4.56,1522.4,0.1,3,85.33,4.569818,-1.077006,-4243.075,-0.547902,446.3667,445.82,10051.4,1736.2,6.97,1.76,3.99,63.398,8.05
1/14/2023,17:59:59,MP_010,4,8,AFF2FF041FF-------------------,,447.8395,447.9526,-0.1509465,-0.00459,8393.396,8401.577,422.0405,550.059,1249.74,98.406,1676,1505,5.38,4.69,5.46,3.14,283.2,0.1,3,65.76,0.2017085,0.1451128,1390.012,-0.3190176,448.3682,448.11,8529.6,1136.2,6.91,2.35,4.502,74.658,3.52
1/15/2023,10:09:11,MP_010,4,8,AFF2FF041FF-------------------,,449.2349,448.7855,-0.158886,-1.568849,8543.289,8543.038,195.6755,1883.218,1249.72,97.91,1486,1373,4.72,4.98,4.37,3.09,1392.7,0.5,3,86,2.663444,-1.349378,-1973.831,1.011249,449.0305,447.29,10230.6,1486.2,9.75,47.06,3.764,84.701,8.56
1/15/2023,17:18:31,MP_010,4,8,AFF2FF041FF-------------------,,442.9837,443.0042,-0.719896,-0.6443506,9389.443,9390.244,1681.878,2179.09,1249.86,98.159,1785,1573,5.89,5.86,5.84,4.53,474.6,0.3,3,84.73,0.7845649,-0.4590809,-1708.99,-0.4656646,442.9887,443.1,9887.5,1198.7,7.31,25.29,5.343,80.584,4.53
