date,distress,joy,rCrashes,emailsSent,snacks,drinks,hours,comment,,,
25 Jan 24,6,0,1,0,1,1,3.583,,,,
26 Jan 24,1,1,0,0,0,1,4.1,,,,
27 Jan 24,NA,NA,NA,NA,NA,NA,0,,,,
28 Jan 24,NA,NA,NA,NA,NA,NA,0,,,,
29 Jan 24,0,0,0,0,2,1,4.133,,,,
30 Jan 24,2,0,0,0,0,0,0.5,Absolutely sick of reading papers,,,
31 Jan 24,1,2,0,0,0,0,1.75,Thinking about putting samples in the oven is kind of sad,,,
1 Feb 24,0,3,0,0,1,1,2.75,,,,
2 Feb 24,0,4,0,0,1,0,3.917,,,,
3 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
4 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
5 Feb 24,2,4,2,2,0,0,3.8,,,,
6 Feb 24,0,0,0,0,0,0,2.2,,,,
7 Feb 24,2,5,0,2,0,0,0.25,,,,
8 Feb 24,4,4,0,0,1,0,1.33,Excel is horrible,,,
9 Feb 24,0,2,0,0,0,0,1.33,,,,
10 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
11 Feb 24,0,1,0,0,0,0,0.5,,,,
12 Feb 24,8,2,0,6,0,1,9.83,IRGA funtimes was NOT IRGA funtimes,,,
13 Feb 24,1,2,1,1,0,0,7.25,,,,
14 Feb 24,2,2,0,0,0,0,8.17,,,,
15 Feb 24,1,6,0,1,0,0,8.33,,,,
16 Feb 24,7,5,0,1,1,0,8.83,Somehow locked the key in the lab?????,,,
17 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
18 Feb 24,1,2,0,0,0,0,3,,,,
19 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
20 Feb 24,0,0,0,1,0,0,0.25,,,,
21 Feb 24,0,0,0,2,1,0,0.5,,,,
22 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
23 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
24 Feb 24,NA,NA,NA,NA,NA,NA,0,,,,
25 Feb 24,1,0,0,0,2,1,1.71,,,,
26 Feb 24,8,1,0,0,0,0,9.5,Shutting down the IRGA is consistently an emotional rollercoaster,,,
27 Feb 24,0,2,0,0,1,0,8.5,,,,
28 Feb 24,1,5,0,0,0,0,8,,,,
29 Feb 24,0,2,0,3,0,0,8,,,,
1 Mar 24,0,7,0,0,0,0,9.42,,,,
2 Mar 24,0,5,0,0,0,1,1.75,,,,
3 Mar 24,NA,NA,NA,NA,NA,NA,0,,,,
4 Mar 24,0,6,0,2,0,1,8.83,,,,
5 Mar 24,2,4,0,0,1,1,6.75,,,,
6 Mar 24,4,0,0,0,0,1,2.5,idk how to data,,,
7 Mar 24,3,2,0,2,0,0,5.83,,,,
8 Mar 24,2,4,0,3,0,1,4,I am the victim of problems manufactured by my own stupidity,,,
9 Mar 24,NA,NA,NA,NA,NA,NA,0,,,,
10 Mar 24,0,5,0,0,0,1,1.25,,,,
11 Mar 24,1,4,0,0,2,0,6.113,,,,
12 Mar 24,0,8,0,0,0,1,2.58,,,,
13 Mar 24,0,5,0,2,2,0,4.75,,,,
14 Mar 24,2,6,0,1,1,0,4.58,,,,
15 Mar 24,4,4,1,0,1,1,3,,,,
16 Mar 24,0,0,0,0,0,0,0.25,,,,
17 Mar 24,3,3,0,0,3,1,4,,,,
18 Mar 24,8,1,0,2,1,1,6,,,,
19 Mar 24,NA,NA,NA,NA,NA,NA,0,,,,
20 Mar 24,1,7,0,1,0,0,3.75,,,,
21 Mar 24,1,4,1,1,3,1,5.87,,,,
22 Mar 24,0,2,0,0,0,0,0.5,,,,
23 Mar 24,3,5,0,0,1,1,5.16,,,,
24 Mar 24,4,1,0,0,1,0,3.5,,,,
25 Mar 24,2,4,0,1,1,2,5.71,,,,
26 Mar 24,0,6,0,2,3,0,6,,,,
27 Mar 24,2,6,0,0,2,2,6.42,Whoever invented word for the web deserves corporal punishment,,,
28 Mar 24,1,7,0,0,3,1,5.55,,,,
29 Mar 24,1,3,0,1,0,1,2,,,,
30 Mar 24,0,1,0,0,0,0,3.6,,,,
31 Mar 24,0,2,0,0,0,1,4.58,Illness.,,,
1 Apr 24,4,1,0,0,3,2,4,ILLNESS.,,,
2 Apr 24,4,1,0,1,0,1,3.91,I L L N E S S,,,
3 Apr 24,2,4,0,1,1,1,7.44,ILLNESS.,,,
4 Apr 24,2,3,0,1,2,0,5.31,Illness.,,,
5 Apr 24,5,0,0,0,1,1,6.13,,,,
6 Apr 24,1,0,0,0,0,0,1.33,,,,
7 Apr 24,1,2,0,0,1,1,7.36,Will not admit how long I spent on one figure,,,
8 Apr 24,1,2,0,1,1,1,3.05,,,,
9 Apr 24,2,6,0,1,2,1,7,,,,
10 Apr 24,3,4,0,1,0,0,6.63,Grunky,,,
11 Apr 24,1,7,0,0,0,1,7.77,,,,
12 Apr 24,2,5,0,0,1,2,7.15,,,,
13 Apr 24,2,6,0,0,1,1,10.23,,,,
14 Apr 24,3,2,0,0,1,0,7.5,Man eating a burrito in the library,,,
15 Apr 24,5,3,0,0,1,1,7.68,,,,
16 Apr 24,1,5,0,0,1,2,8.37,,,,
17 Apr 24,0,4,0,0,1,0,3.12,What an anti-climax,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
