Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation ,Weight,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station"
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m2 s-1,g,%,°C,%,m/s
1/5/2023,18:11:35,MP_010,1,8,AFF2FF041FF-------------------,,442.9903,443.1861,-1.109333,-13.44464,9434.526,9432.172,1277.953,2834.38,1249.73,99.258,1777,1575,5.94,6.22,6.05,5.05,464.2,0.2,3,88.08,2.458415,-1.444714,-1701.662,18.21047,448.5917,430.91,10988.6,853.7,124.91,4.71,4.813,80.311,1.01
1/7/2023,12:38:12,MP_010,1,8,AFF2FF041FF-------------------,,445.3138,445.1907,-1.17268,-8.437067,9790.767,9782.582,1825.325,3036.412,1249.68,99.582,1844,1616,7.55,7.61,7.12,5.7,1263.5,0.3,3,86.29,1.912865,-0.514617,-3717.066,10.51,442.6881,437.92,10993.7,1893.7,105.53,33.53,5.301,84.355,3.52
1/9/2023,11:16:13,MP_010,1,8,AFF2FF041FF-------------------,,450.1366,450.2313,-0.8429008,-13.02195,9688.473,9680.498,1180.595,1556.768,1249.8,98.551,1576,1432,5.09,4.96,5.14,3.94,289.2,0.1,3,87.51,0.5936428,-1.243502,-477.3961,18.76656,500.3976,438.16,10056.7,756.2,94.05,25.29,3.314,98.093,3.02
1/12/2023,9:05:44,MP_010,1,8,AFF2FF041FF-------------------,,448.4604,448.4464,-0.7144691,-10.2094,8714.889,8702.725,658.476,1358.55,1249.65,99.424,1425,1325,3.33,3.21,3.64,2.1,336,0.3,3,86.73,1.10394,-1.685495,-654.9647,14.34708,474.3486,438.98,9402.8,858.7,92.95,11.76,3.207,89.43,1.01
1/12/2023,11:47:53,MP_010,1,8,AFF2FF041FF-------------------,,448.8993,448.9785,-0.7800869,-5.42998,8551.917,8540.889,1207.389,1495.969,1249.69,99.19,1444,1335,3.66,3.59,3.71,2.89,402.2,0.2,3,87.51,0.4548075,-0.8757749,-519.3202,7.061551,466.1684,444.33,8829.5,788.7,90,10,3.614,85.873,2.01
1/14/2023,14:34:37,MP_010,1,8,AFF2FF041FF-------------------,,448.8606,448.9116,-0.2778425,-2.482583,7204.506,7205.99,426.2,3148.609,1249.74,98.372,1502,1382,4.18,4.01,4.15,2.72,444.9,0.3,3,86.29,4.295541,-1.673112,-2567.396,1.525302,448.8143,446.72,9928.4,1118.7,91.81,1.76,2.925,70.388,8.56
1/14/2023,17:09:45,MP_010,1,8,AFF2FF041FF-------------------,,450.5214,450.6112,-0.2665289,0.7592031,7548.537,7548.486,153.4105,2005.29,1249.81,98.448,1530,1399,3.69,3.93,3.75,2.71,222.2,0.2,3,83.15,2.920581,-1.195221,-2443.55,-2.921635,450.6565,451.68,9400.4,493.7,85.64,2.35,2.968,75.181,5.54
1/15/2023,9:46:05,MP_010,1,8,AFF2FF041FF-------------------,,452.6282,452.5886,-0.158886,-13.13361,8362.164,8355.334,195.6755,1799.646,1249.71,97.887,1330,1254,3.85,3.87,4,3.52,393.7,0.3,3,88.52,2.530823,-1.745182,-1450.177,19.15589,461.3617,439.53,9959.3,858.7,120.56,42.35,3.236,87.297,8.05
1/15/2023,17:00:09,MP_010,1,8,AFF2FF041FF-------------------,,445.0645,444.9432,-0.719896,0.04088777,9288.863,9276.645,1681.878,2436.766,1249.61,98.154,1705,1527,6.22,6.21,6.88,4.61,772.8,0.2,3,87.14,1.191089,-0.376159,-3166.45,-1.719189,445.0901,445.68,10031.5,1293.7,107.11,18.82,5.55,80.941,3.02
