Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station"
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s
1/5/2023,19:16:39,MP_010,8,8,AFF2FF041FF-------------------,,442.2121,442.3054,-0.9922487,-0.6604025,9779.905,9779.954,1777.046,1374.865,1249.82,99.24,1946,1680,4.77,5.09,4.68,4.21,315.9,0.2,3,88.18,-0.6342633,-0.5426733,1168.775,-0.2376917,443.3195,442.63,9377.8,511.2,7.87,4.71,4.606,82.382,0.5
1/7/2023,13:49:09,MP_010,8,8,AFF2FF041FF-------------------,,441.8922,441.8628,-1.17268,-0.7775496,10214.4,10217.38,1825.325,1902.104,1249.81,99.556,2022,1725,6.25,6.41,6.08,5.38,435.4,0.5,3,85.09,0.1211957,-0.6432077,-188.4238,-0.6708972,437.1332,442.25,10294.2,693.7,7.92,35.29,4.523,85.766,2.01
1/9/2023,12:13:15,MP_010,8,8,AFF2FF041FF-------------------,,450.6723,450.9365,-0.8429008,-1.324485,10323.79,10319.63,1180.595,2120.369,1249.79,98.378,1840,1613,6.99,7.09,6.77,5.79,553.3,0.2,3,86.26,1.484866,-1.031029,-1440.179,0.08339852,451.3273,450.51,11259.4,1213.7,8.01,7.06,5.118,93.288,0.5
1/12/2023,9:36:50,MP_010,8,8,AFF2FF041FF-------------------,,445.2127,445.1837,-0.7144691,-0.7662307,9056.33,9039.75,658.476,1070.739,1249.83,99.37,1616,1463,4.05,4.22,3.84,3.16,598.8,0.1,3,87.3,0.6502177,-1.15241,-564.2242,-0.2085703,445.3617,445.14,9452,1056.2,7.46,11.18,3.692,86.931,1.51
1/12/2023,12:37:19,MP_010,8,8,AFF2FF041FF-------------------,,445.3762,445.3797,-0.7800869,-0.6166206,8953.596,8956.463,1207.389,1309.437,1249.63,99.078,1690,1510,4.16,4.42,4.17,2.81,353.4,0.2,3,83.82,0.16086,-0.6135302,-262.1876,-0.3270105,444.0201,445.54,9058.5,733.7,7.36,10,3.799,85.162,2.01
1/14/2023,15:46:28,MP_010,8,8,AFF2FF041FF-------------------,,446.4366,446.393,-0.2778425,-0.06689855,7230.031,7214.045,426.2,746.6135,1249.79,98.449,1693,1511,4.95,4.87,4.49,3.39,462.6,0.5,3,56.27,0.5043615,1.25465,401.9938,-0.5547857,447.8652,446.59,7534.5,1126.2,7.15,1.76,3.26,66.639,8.56
1/14/2023,18:22:55,MP_010,8,8,AFF2FF041FF-------------------,,446.1867,446.5575,-0.1509465,-0.0314,7795.504,7806.887,422.0405,298.8711,1249.84,98.398,1738,1543,4.31,4.09,4.15,3,249.8,0.3,3,57.98,-0.1939169,0.6341481,-305.7913,-0.1001131,445.8088,446.76,7683.7,473.7,7.16,1.76,4.022,71.061,2.52
1/15/2023,10:24:57,MP_010,8,8,AFF2FF041FF-------------------,,448.4547,448.5845,-0.158886,-1.800086,8659.384,8662.088,195.6755,1908.62,1249.76,97.946,1562,1426,4.61,4.61,3.93,2.84,712.2,0.6,3,84.81,2.704006,-1.729838,-1563.155,1.355257,449.5339,446.97,10375,1371.2,8.02,40.59,3.885,83.717,8.56
1/15/2023,17:40:08,MP_010,8,8,AFF2FF041FF-------------------,,444.5064,444.6052,-0.719896,-0.1730911,9586.877,9587.987,1681.878,1482.109,1249.76,98.151,1846,1619,5.78,5.72,5.63,3.39,916.6,0.3,3,81.2,-0.3150362,-0.05102631,6173.996,-0.7139727,445.378,445.16,9388.2,1106.2,7.06,26.47,5.314,81.486,3.52
