Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s,s
1/5/2023,18:38:20,MP_010,3,8,AFF2FF041FF-------------------,,439.7357,439.574,-0.9922487,-9.240692,9613.317,9596.966,1777.046,2004.403,1249.72,99.234,1914,1666,5.74,5.79,5.2,3.62,329.7,0.4,3,83.33,0.3586897,-0.5472315,-655.4625,12.73059,461.9648,431.28,9824.3,961.2,26.11,3.53,5.928,75.912,1.01,0
1/7/2023,12:57:14,MP_010,3,8,AFF2FF041FF-------------------,,443.0031,443.157,-1.17268,-0.3462493,9943.588,9938.626,1825.325,2967.583,1249.85,99.578,1928,1671,7.98,7.74,7.05,6.6,1162.9,0.6,3,86,1.804557,-0.5061389,-3565.341,-2.092361,443.4322,444,11080.9,1776.2,18.95,32.35,5.303,83.789,3.02,152334
1/9/2023,11:33:59,MP_010,3,8,AFF2FF041FF-------------------,,450.5186,450.4261,-0.8429008,-3.084038,9782.494,9769.525,1180.595,1417.579,1249.69,98.52,1655,1486,5.33,5.08,5.21,4.85,370.1,0,3,88.86,0.3739371,-1.114804,-335.4286,3.333321,464.4821,448.19,10006.5,658.7,18.95,21.18,3.419,97.542,1.51,320139
1/12/2023,9:15:53,MP_010,3,8,AFF2FF041FF-------------------,,446.9094,447.0916,-0.7144691,-4.72338,8792.291,8792.861,658.476,972.9988,1249.7,99.405,1500,1380,3.03,2.83,2.92,1.73,366.3,0.2,3,86.13,0.495837,-1.591228,-311.6064,6.042673,474.5185,443.13,9107.4,643.7,18.89,11.76,3.36,87.228,1.01,571053
1/12/2023,12:00:12,MP_010,3,8,AFF2FF041FF-------------------,,447.0516,447.1279,-0.7800869,-2.152486,8763.154,8749.719,1207.389,1336.29,1249.74,99.178,1544,1409,4.09,4.16,3.76,3.32,408.1,0.1,3,87.48,0.203171,-0.5917599,-343.3335,2.053368,455.5117,445.77,8878.6,756.2,17.9,10,4.083,84.134,1.51,580912
1/14/2023,15:00:43,MP_010,3,8,AFF2FF041FF-------------------,,446.9989,447.0844,-0.2778425,-0.9351488,7133.167,7141.843,426.2,3451.344,1249.81,98.367,1626,1474,5.63,5.09,5.37,3.53,1437.1,0.3,3,83.2,4.7746,-1.259015,-3792.329,-1.104647,446.8538,446.43,10167,1766.2,16.82,1.76,3.992,64.182,7.55,764543
1/14/2023,17:54:24,MP_010,3,8,AFF2FF041FF-------------------,,449.6475,450.0733,-0.1509465,-0.3695513,8385.129,8377.33,422.0405,1293.295,1249.66,98.409,1641,1478,5.01,4.67,5.44,2.92,376.9,0.5,3,73.24,1.373664,-0.5946051,-2310.211,-0.2765271,450.1247,449.89,9248.6,1283.7,16.31,2.35,3.973,78.08,3.52,774964
1/15/2023,10:03:50,MP_010,3,8,AFF2FF041FF-------------------,,449.7799,449.9048,-0.158886,-10.31501,8474.483,8465.678,195.6755,1968.545,1249.68,97.92,1455,1349,4.46,4.35,4.15,2.96,1278.7,0.3,3,86.86,2.79805,-1.743385,-1604.953,14.63442,455.2039,439.76,10238.6,1458.7,22.4,46.47,3.644,85.087,8.05,833130
1/15/2023,17:10:30,MP_010,3,8,AFF2FF041FF-------------------,,444.4602,444.5811,-0.719896,0.6257014,9374.955,9379.32,1681.878,2160.636,1249.74,98.179,1768,1568,6.02,5.94,5.77,3.58,558.2,0.5,3,83.02,0.7553522,-0.3831235,-1971.563,-2.438913,444.2843,445.95,9858.1,1241.2,18.02,25.88,5.303,80.92,5.03,858730
