Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m2 s-1,g,%,°C,%,m/s,s
1/5/2023,18:26:57,MP_010,2,8,AFF2FF041FF-------------------,,442.2555,442.4323,-1.109333,-33.09047,9447.709,9437.247,1277.953,2976.065,1249.81,99.247,1861,1631,6.82,7.13,6.42,6.16,529.4,0.5,3,88.52,2.682769,-0.9664459,-2775.913,48.86169,438.5752,410.48,11135.4,1116.2,149.49,3.53,5.148,78.877,1.01,0
1/7/2023,12:48:37,MP_010,2,8,AFF2FF041FF-------------------,,443.7003,443.8502,-1.17268,-18.89072,9878.819,9873.482,1825.325,2947.386,1249.79,99.58,1900,1654,7.91,7.75,7.49,6.49,807.2,0.3,3,87.79,1.772408,-0.4116654,-4305.458,26.92438,436.1901,426.16,10995.5,1566.2,114.08,35.29,5.314,83.697,3.02,152500
1/9/2023,11:25:32,MP_010,2,8,AFF2FF041FF-------------------,,448.827,448.9298,-0.8429008,-17.41292,9650.885,9652.337,1180.595,1337.018,1249.67,98.566,1617,1458,4.57,4.45,4.96,3.99,245.5,0.4,3,88.73,0.2467674,-1.309549,-188.4368,25.7772,646.8969,432.39,9808.8,488.7,103.08,24.12,3.494,98.499,1.01,320315
1/12/2023,9:11:56,MP_010,2,8,AFF2FF041FF-------------------,,447.6317,447.6978,-0.7144691,-19.15359,8774.395,8767.177,658.476,1171.701,1249.72,99.408,1470,1358,3.61,3.41,3.23,2.71,358.6,0.4,3,88.8,0.809241,-1.446835,-559.3179,28.45717,509.7155,429.29,9280.4,761.2,90.21,11.76,3.63,87.468,1.01,571499
1/12/2023,11:56:11,MP_010,2,8,AFF2FF041FF-------------------,,447.3259,447.4154,-0.7800869,-7.576015,8688.747,8682.944,1207.389,1638.134,1249.82,99.17,1515,1389,4.45,4.34,3.57,3.59,360.5,0.3,3,88.73,0.679133,-0.7246621,-937.172,10.31788,458.312,440.63,9113.7,748.7,87.01,10,4.038,84.054,2.01,581354
1/14/2023,14:51:44,MP_010,2,8,AFF2FF041FF-------------------,,447.7331,447.7854,-0.2778425,-2.845876,7140.876,7145.513,426.2,3702.202,1249.8,98.367,1581,1443,5.59,5.28,5.36,3.78,1506.1,0.5,3,85.35,5.171839,-1.396383,-3703.739,1.709299,446.9134,445.22,10421.5,1998.7,88.73,1.76,3.839,65.408,7.55,764687
1/14/2023,17:15:08,MP_010,2,8,AFF2FF041FF-------------------,,449.3266,449.5463,-0.2665289,0.8654923,7627.682,7610.009,153.4105,2689.067,1249.86,98.45,1551,1414,4.17,4.09,3.79,3.47,325,0.4,3,88.18,4.00212,-1.853043,-2159.755,-3.572407,449.4379,450.72,10145.7,563.7,82.32,2.35,2.925,75.932,5.54,773291
1/15/2023,9:57:46,MP_010,2,8,AFF2FF041FF-------------------,,450.5463,450.4953,-0.158886,-31.328,8416.621,8414.605,195.6755,1901.545,1249.63,97.903,1417,1321,3.98,3.85,3.66,2.74,1113.3,0.5,3,88.05,2.691873,-1.921175,-1401.159,47.55861,473.5841,419.3,10120.5,1056.2,108.83,45.88,3.341,86.242,9.56,833449
1/15/2023,17:05:22,MP_010,2,8,AFF2FF041FF-------------------,,444.855,444.9362,-0.719896,-8.936876,9364.138,9355.037,1681.878,2545.16,1249.74,98.166,1741,1550,6.34,6.28,6.16,5.26,602.5,0.2,3,88.08,1.362521,-0.5175142,-2632.818,12.24134,444.3275,436.72,10218.3,1268.7,98.6,21.76,5.48,80.472,4.03,859105
