Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station"
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s
1/5/2023,18:50:48,MP_010,5,8,AFF2FF041FF-------------------,,439.4744,439.5022,-0.9922487,-0.9614398,9610.911,9618.479,1777.046,1589.487,1249.73,99.247,1945,1681,4.86,4.94,4.68,3.56,304.4,0.2,3,85.46,-0.2957877,-0.6861119,431.1071,0.0819,439.6896,439.52,9430.9,473.7,6.11,4.71,5.37,77.578,1.01
1/7/2023,13:20:42,MP_010,5,8,AFF2FF041FF-------------------,,442.267,442.185,-1.17268,-1.265374,10156.72,10147.43,1825.325,2844.723,1249.7,99.583,1999,1716,7.85,7.96,7.22,4.99,1240.4,0.5,3,80.6,1.610406,-0.4344475,-3706.79,-0.5671609,442.1601,442.1,11166.8,1853.7,6.12,26.47,6.027,81.599,2.52
1/9/2023,11:55:02,MP_010,5,8,AFF2FF041FF-------------------,,450.8565,451.0378,-0.8429008,-1.318527,10033.19,10024.1,1180.595,1244.426,1249.72,98.461,1750,1551,5.21,6,5.16,4.32,562.8,0.2,3,86.34,0.1007285,-0.6022812,-167.2451,0.6976132,457.5247,450.59,10087.9,806.2,6.25,13.53,4.199,96.849,0.5
1/12/2023,9:23:08,MP_010,5,8,AFF2FF041FF-------------------,,446.5917,446.6086,-0.7144691,-1.596465,8865.354,8853.451,658.476,1431.061,1249.8,99.394,1545,1411,4.61,4.59,3,3.2,586.8,0.7,3,88.23,1.218704,-1.113184,-1094.791,0.8346794,447.7012,445.74,9626,988.7,6.23,11.76,3.384,87.472,1.51
1/12/2023,12:16:06,MP_010,5,8,AFF2FF041FF-------------------,,445.5533,445.5231,-0.7800869,-0.5628029,8824.143,8827.397,1207.389,1185.651,1249.74,99.14,1626,1466,3.51,3.75,3.49,2.76,371.3,0.1,3,86.47,-0.0342608,-0.7543741,45.41619,-0.3241645,457.4301,445.76,8805.7,581.2,6.17,11.76,3.44,86.215,2.52
1/14/2023,15:14:56,MP_010,5,8,AFF2FF041FF-------------------,,446.4927,446.6479,-0.2778425,-1.562755,7200.901,7185.311,426.2,3635.844,1249.76,98.398,1670,1503,6,5.91,4.88,3.81,1441.5,0.3,3,82.24,5.066784,-0.9648182,-5251.543,-0.2494847,446.0033,445.41,10395,1748.7,6.05,1.76,4.11,63.078,7.05
1/14/2023,18:05:39,MP_010,5,8,AFF2FF041FF-------------------,,446.6295,446.6287,-0.1509465,-0.1359362,8305.845,8315.102,422.0405,459.5344,1249.74,98.407,1708,1527,5.44,5.34,4.58,3.27,266.9,0.5,3,62.57,0.0591,0.727263,81.21661,-0.04982926,447.0804,446.63,8352.6,1041.2,6.05,2.35,4.625,73.002,3.02
1/15/2023,10:13:15,MP_010,5,8,AFF2FF041FF-------------------,,449.2289,449.2505,-0.158886,-2.085742,8557.5,8559.993,195.6755,1729.217,1249.78,97.93,1508,1388,4.51,4.58,4.7,3.11,1338.9,0.3,3,85.17,2.420156,-1.458523,-1659.32,1.927601,450.1469,447.31,10093.5,1511.2,6.43,47.65,3.783,83.961,8.56
1/15/2023,17:27:54,MP_010,5,8,AFF2FF041FF-------------------,,444.0832,444.226,-0.719896,-0.4683471,9491.606,9492.324,1681.878,2015.664,1249.73,98.155,1814,1598,5.93,5.87,5.63,4.03,380.9,0.7,3,83.23,0.5266026,-0.3913216,-1345.703,-0.627037,444.0459,444.5,9826.1,1153.7,6.07,24.71,5.185,81.527,4.03
