Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s,s
1/5/2023,18:58:52,MP_010,6,8,AFF2FF041FF-------------------,,440.0005,439.9559,-0.9922487,-0.5278239,9654.31,9644.161,1777.046,1397.251,1249.81,99.246,1941,1678,4.95,5.07,4.76,4.04,321.3,0.2,3,86.16,-0.5988861,-0.4420391,1354.826,-0.4617841,441.2657,440.43,9264.4,518.7,14.6,4.71,4.496,81.99,1.01,0
1/7/2023,13:32:15,MP_010,6,8,AFF2FF041FF-------------------,,439.3425,439.4576,-1.17268,-1.512558,10162.02,10158.72,1825.325,2259.976,1249.68,99.562,2009,1716,6.93,6.94,7.37,5.07,600.7,0.1,3,82.03,0.6862364,-0.5831674,-1176.74,0.2295467,439.8752,439.17,10593.4,1106.2,15.06,31.18,5.494,82.556,2.52,153203
1/9/2023,12:04:01,MP_010,6,8,AFF2FF041FF-------------------,,451.1174,451.1907,-0.8429008,-6.846927,10212.56,10196.95,1180.595,1938.113,1249.74,98.428,1795,1581,6.45,6.33,6.2,5.06,546.5,0.5,3,86.13,1.196478,-1.2544,-953.8254,8.84667,460.5287,445.17,10954.5,1013.7,16.16,11.76,4.526,94.74,0.5,320709
1/12/2023,9:26:08,MP_010,6,8,AFF2FF041FF-------------------,,445.5681,445.7177,-0.7144691,-2.488584,8852.654,8854.709,658.476,817.562,1249.64,99.387,1562,1425,3.37,3.37,3.95,3.18,575.6,0.2,3,86.65,0.2507604,-1.198519,-209.2252,2.659924,464.6604,443.98,9013.8,988.7,15.75,11.76,3.384,87.472,1.51,570436
1/12/2023,12:24:56,MP_010,6,8,AFF2FF041FF-------------------,,445.0223,445.1115,-0.7800869,-1.216452,8839.792,8835.684,1207.389,1032.95,1249.83,99.124,1645,1479,3.52,3.37,2.86,2.26,280.1,0.3,3,83.46,-0.2749045,-0.820912,334.8769,0.8039694,441.5024,444.68,8661.2,383.7,15.49,11.76,3.282,87.218,2.01,581164
1/14/2023,15:23:18,MP_010,6,8,AFF2FF041FF-------------------,,446.0684,446.224,-0.2778425,-0.7024788,7050.477,7065.953,426.2,2322.036,1249.72,98.417,1695,1518,5.35,5.35,5.14,3.28,1399.4,0.1,3,70.9,2.98835,0.1188596,25141.86,-0.6689691,445.7942,445.84,8961.8,1633.7,14.56,1.76,3.813,61.486,9.56,764666
1/14/2023,18:10:43,MP_010,6,8,AFF2FF041FF-------------------,,446.449,446.8239,-0.1509465,0.0103,8161.112,8183.255,422.0405,172.9838,1249.75,98.402,1730,1541,5.08,4.95,4.85,2.97,750.2,0.4,3,58.81,-0.3921846,0.9011092,-435.2243,-0.07651746,446.1638,447.07,7934.2,856.2,14.51,2.35,4.357,71.102,3.52,774711
1/15/2023,10:17:08,MP_010,6,8,AFF2FF041FF-------------------,,448.6954,449.0399,-0.158886,-8.90025,8580.696,8580.221,195.6755,1998.371,1249.78,97.928,1530,1404,4.57,4.37,4.26,2.35,1408.5,0.3,3,84.94,2.845752,-1.878142,-1515.195,12.40281,454.4253,440.35,10382.9,1511.2,17.99,47.65,3.783,83.961,8.56,832696
1/15/2023,17:31:20,MP_010,6,8,AFF2FF041FF-------------------,,444.3583,444.4716,-0.719896,-0.8472454,9509.975,9504.867,1681.878,1778.807,1249.73,98.155,1823,1604,5.95,5.85,5.82,3.66,1016.3,0.6,3,81.62,0.1528868,-0.1767804,-864.8406,0.1310022,444.7328,444.37,9601.8,1153.7,14.98,22.94,5.207,82.112,3.52,858748
1/17/2023,15:58:04,MP_010,6,8,AFF2FF041FF-------------------,,444.7335,444.7416,-0.9634451,-0.5133567,7942.001,7946.437,2439.657,2047.409,1249.74,99.336,1618,1463,6.53,6.37,6.43,4.02,1136.1,0.4,3,69.76,-0.6174244,2.118763,-291.4079,-0.4282333,441.451,445.21,7554.2,1666.2,14.31,17.06,4.274,71.928,8.56,1025952
1/18/2023,9:49:03,MP_010,6,8,AFF2FF041FF-------------------,,450.9421,451.0735,-0.252425,-6.233294,9014.178,9006.919,114.9929,1423.525,1249.7,98.399,1339,1262,4.47,4.39,4.43,3.66,310.9,0.3,3,87.12,2.065394,-1.840196,-1122.378,8.423527,458.1186,445.11,10315.5,618.7,15.7,100,4.105,89.349,9.06,1090211
1/18/2023,14:56:20,MP_010,6,8,AFF2FF041FF-------------------,,447.1638,447.1541,-0.7171336,-2.080514,9282.573,9267.942,1495.79,1254.34,1249.67,98.749,1502,1383,4.87,4.78,4.47,3.69,327.2,0.3,3,84.78,-0.3806014,-0.3366148,1130.673,2.29938,442.8138,445.75,9026.5,473.7,14.74,100,4.054,88.783,3.52,1108648
1/19/2023,9:44:00,MP_010,6,8,AFF2FF041FF-------------------,,449.4731,449.5851,-0.5987698,-10.68474,9238.463,9232.118,414.6395,1184.52,1249.64,98.712,1353,1269,4.54,4.37,4.51,3.82,596.1,0.2,3,87.97,1.214742,-1.562432,-777.4688,15.22093,471.1259,439.48,10002,943.7,17.31,100,4.099,92.306,7.55,1176308
1/21/2023,16:13:02,MP_010,6,8,AFF2FF041FF-------------------,,444.1715,444.3344,-0.2477597,-2.323324,9954.057,9950.131,836.6671,601.8765,1249.78,99.271,1580,1435,4.28,4.1,4.17,3.63,234.4,0.3,3,87.51,-0.3703943,-1.480528,250.1771,3.406313,422.0438,442.29,9715.3,393.7,14.4,100,3.539,98.181,2.52,1372450
1/22/2023,10:41:27,MP_010,6,8,AFF2FF041FF-------------------,,446.0863,446.0223,-0.8015731,-2.91868,8590.711,8577.935,1492.613,1696.961,1249.66,98.854,1515,1392,4.32,4.19,4.57,3.15,537.7,0.3,3,84.86,0.3220347,-0.450239,-715.2527,3.164139,451.0866,443.87,8782.3,993.7,15.37,69.41,3.531,85.142,6.04,1438955
1/22/2023,17:54:31,MP_010,6,8,AFF2FF041FF-------------------,,446.9153,446.9774,0.0933015,0.1064019,8443.525,8441.896,-496.8869,634.4692,1249.75,99.2,1566,1429,4.29,4.13,4.09,3.32,283.6,0.1,3,70.51,1.784469,-1.315641,-1356.35,-0.8181284,446.9795,447,9573.3,498.7,14.08,72.94,3.507,82.103,6.04,1464939
