Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station"
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s
1/5/2023,19:08:23,MP_010,7,8,AFF2FF041FF-------------------,,440.8922,440.9396,-0.9922487,-0.6985525,9787.876,9784.607,1777.046,1160.888,1249.74,99.249,1941,1678,4.57,4.65,5,3.89,442.9,0.4,3,85.15,-0.9714507,-0.6005123,1617.703,-0.0301,441.6949,441.25,9168.4,568.7,10.62,4.71,4.314,83.47,0.5
1/7/2023,13:40:38,MP_010,7,8,AFF2FF041FF-------------------,,442.1849,442.0119,-1.17268,-1.403428,10201.01,10197.59,1825.325,2463.277,1249.75,99.558,2018,1723,7.08,7.28,6.85,5.83,556.2,0.5,3,84.47,1.007519,-0.5868348,-1716.871,-0.08458973,442.0677,441.74,10835.6,951.2,10.84,31.18,5.008,83.986,1.51
1/9/2023,12:07:19,MP_010,7,8,AFF2FF041FF-------------------,,450.9555,450.9161,-0.8429008,-4.120713,10257.5,10246.93,1180.595,1910.401,1249.76,98.417,1812,1594,6.64,6.58,6.44,5.66,669.8,0.1,3,87.01,1.152758,-1.103786,-1044.368,4.604609,455.2771,447.62,10976.7,1013.7,11.48,11.76,4.526,94.74,0.5
1/12/2023,9:29:53,MP_010,7,8,AFF2FF041FF-------------------,,445.1194,445.2078,-0.7144691,-1.412588,8906.874,8900.923,658.476,1088.759,1249.74,99.384,1577,1433,3.44,3.52,3.37,1.66,622.9,0.5,3,83.15,0.6785069,-1.437464,-472.0168,0.7889522,448.1592,444.55,9331.2,998.7,11.21,11.18,3.419,86.722,2.01
1/12/2023,12:32:33,MP_010,7,8,AFF2FF041FF-------------------,,445.3171,445.3233,-0.7800869,-0.9203208,8936.645,8926.414,1207.389,1344.766,1249.73,99.097,1672,1498,4.27,4.5,4.05,3.15,480.3,0.2,3,84.47,0.2165678,-0.5711976,-379.1469,0.1226557,446.0845,445.18,9063.8,803.7,11.1,10,3.437,87.184,2.01
1/14/2023,15:40:16,MP_010,7,8,AFF2FF041FF-------------------,,446.0706,446.1089,-0.2778425,-0.3614022,7129.243,7134.163,426.2,1145.452,1249.75,98.444,1708,1522,4.94,4.82,5.17,3.1,852.8,0.3,3,59.54,1.132501,0.9003244,1257.881,-0.374609,445.882,446.04,7853.4,1438.7,10.53,1.76,3.662,64.097,9.06
1/14/2023,18:19:06,MP_010,7,8,AFF2FF041FF-------------------,,446.2346,446.1442,-0.1509465,0.0449,7872.045,7876.824,422.0405,183.8501,1249.73,98.395,1740,1544,4.29,4.52,4.23,3.57,271.6,0.2,3,58.6,-0.3749566,0.9405888,-398.6403,-0.1386118,445.0978,446.29,7638.6,473.7,10.68,1.76,4.022,71.061,2.52
1/15/2023,10:20:51,MP_010,7,8,AFF2FF041FF-------------------,,449.0732,448.6403,-0.158886,-3.162038,8635.396,8621.219,195.6755,1923.489,1249.72,97.93,1550,1418,4.87,4.36,4.41,2.83,1296.2,0.8,3,84.31,2.727331,-1.85303,-1471.823,3.47621,450.5312,445.55,10349,1598.7,11.53,41.76,3.896,83.767,8.56
1/15/2023,17:35:29,MP_010,7,8,AFF2FF041FF-------------------,,444.5997,444.6594,-0.719896,-0.5100019,9569.155,9563.43,1681.878,1804.029,1249.69,98.159,1834,1612,5.96,5.83,5.85,3.97,965,0.5,3,82.6,0.1926784,-0.2798428,-688.5236,-0.4135924,444.1182,444.86,9685.6,1131.2,10.75,22.35,5.352,81.251,3.02
1/17/2023,16:05:03,MP_010,7,8,AFF2FF041FF-------------------,,445.5833,445.4472,-0.9634451,-0.3371597,7962.251,7963.682,2439.657,1657.937,1249.79,99.341,1625,1472,6.09,5.62,5.83,4.04,1340.6,0.2,3,69.71,-1.230064,1.999662,-615.1359,-0.4297518,443.5577,446.04,7182,1516.2,10.5,18.24,4.14,72.48,8.56
1/18/2023,9:52:22,MP_010,7,8,AFF2FF041FF-------------------,,450.6024,450.7215,-0.252425,-3.693508,9036.606,9033.49,114.9929,1355.802,1249.8,98.376,1361,1279,4.5,4.42,4.49,3.61,305.4,0.1,3,87.48,1.958579,-1.780826,-1099.815,4.499722,454.9584,447.32,10274.3,618.7,11.64,100,4.105,89.349,9.06
1/18/2023,15:01:56,MP_010,7,8,AFF2FF041FF-------------------,,447.3204,447.7924,-0.7171336,-1.49513,9415.935,9408.856,1495.79,1260.549,1249.71,98.744,1539,1409,5.04,4.72,4.75,4.19,360.3,0.2,3,85.04,-0.3708799,-0.5166579,717.8443,1.381152,444.4553,447.1,9173.6,573.7,11.07,100,4.215,88.785,3.02
1/19/2023,10:31:44,MP_010,7,8,AFF2FF041FF-------------------,,444.8398,444.8571,-0.5987698,-5.944754,9529.052,9526.954,414.6395,1265.859,1249.9,98.699,1590,1443,4.55,4.36,4.44,3.47,341,0.2,3,87.38,1.343869,-1.951466,-688.6459,7.761783,458.4536,439.5,10378.2,728.7,12.17,100,4.201,91.006,7.05
1/21/2023,16:16:06,MP_010,7,8,AFF2FF041FF-------------------,,444.3554,444.3903,-0.2477597,-1.023724,9968.752,9965.966,836.6671,702.3775,1249.81,99.267,1587,1440,4.22,4.29,4.24,3.38,234.2,0.1,3,87.14,-0.2118789,-1.488412,142.3522,1.30625,430.3138,443.61,9831.7,393.7,10.74,100,3.539,98.181,2.52
1/22/2023,10:45:11,MP_010,7,8,AFF2FF041FF-------------------,,445.5883,445.5991,-0.8015731,-3.483696,8548.338,8559.463,1492.613,1709.086,1249.78,98.851,1530,1400,4.48,4.49,4.16,3.74,540.1,0.2,3,87.61,0.3411755,-0.26486,-1288.135,4.038985,447.9709,442.9,8775.9,903.7,12.24,67.06,3.518,85.446,7.05
1/22/2023,18:00:20,MP_010,7,8,AFF2FF041FF-------------------,,446.563,446.6253,0.0933015,-0.2093898,8425.472,8416.089,-496.8869,1004.668,1249.73,99.199,1583,1442,4.87,4.67,5.12,3.96,508.9,0.2,3,71.52,2.369161,-1.341385,-1766.205,-0.5845826,446.7508,446.33,9917.6,688.7,10.67,64.12,3.601,80.954,7.55
1/24/2023,19:21:33,MP_010,7,8,AFF2FF041FF-------------------,,446.3848,446.2245,0.2850871,-2.516981,9857.109,9850.725,-149.4931,1062.375,1249.69,98.371,1703,1520,3.9,3.74,3.76,3.35,108.1,0.2,3,88.83,1.914248,-2.979778,-642.413,3.528341,454.0668,443.41,11062.6,161.2,12.95,100,2.81,99.454,1.51
