Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/29/2024,9:31:29,ZPc010,0,8,AFC2FF041FF----------1FF------,,472.3464,472.137,-0.4841205,-0.4841205,13608.07,13606.51,706.6701,706.6701,1136.09,98.608,2439,1895,19.98,19.89,17.46,19.49,10.1,0.3,4,33.72,,,,,,471.62,14313.1,0,0,0,0,0,0
2/29/2024,9:44:13,MP_010,1,8,AFC2FF041FF----------1FF------,,473.5268,473.4623,-0.4841205,4.727986,13599.96,13598.47,706.6701,13174.07,1130.89,98.619,2436,1895,19.98,19.9,18.63,19.6,0,0.1,4,87.14,18.09581,-2.583209,-7005.169,-16.02991,477.0297,478.67,26065.9,0,0,0,0,0,0
2/29/2024,10:51:56,MP_010,1,8,AFC2FF041FF----------1FF------,,474.1047,474.3241,-0.4841205,-17.346,13789.46,13790.75,706.6701,13996.96,1125.93,98.638,2437,1895,19.99,19.91,17.87,19.21,520.1,0.3,4,92.77,19.2256,-3.60139,-5338.382,14.93633,464.4349,457.48,27081,34.56,32,52.16,41.28,160,0
2/29/2024,11:16:13,MP_010,1,8,AFC2FF041FF----------1FF------,,473.9671,474.0963,-0.4841205,1.964463,13685.62,13687.11,706.6701,13501.47,1136.3,98.672,2439,1897,19.99,19.93,18.68,19.54,0.1,0.1,4,83.41,18.66781,-2.9743,-6276.373,-12.37406,475.6834,476.55,26481.9,0,0,0,0,0,0
2/29/2024,11:45:09,MP_010,1,8,AFC2FF041FF----------1FF------,,475.0686,475.1915,-0.4841205,-11.81694,13519.46,13522.04,706.6701,13571.17,1132.01,98.709,2433,1894,19.98,19.87,17.69,19.05,504.8,0.1,4,91.81,18.69673,-2.966838,-6301.905,7.362963,467.8614,463.88,26386.5,48.6,45,73.35,58.05,225,0
2/29/2024,12:10:50,MP_010,1,8,AFC2FF041FF----------1FF------,,474.2581,474.4764,-0.4841205,1.03519,13417.83,13416.95,706.6701,11808.58,1139.29,98.673,2431,1894,19.99,19.92,19.3,19.57,0.3,0.3,4,78.81,16.20776,-0.9748018,-16626.72,-9.878627,475.8009,476,24518.9,0,0,0,0,0,0
2/29/2024,12:24:36,MP_010,1,8,AFC2FF041FF----------1FF------,,475.3762,475.3777,-0.4841205,-7.20947,13319.66,13323.93,706.6701,13367.89,1133.78,98.654,2430,1892,19.99,19.9,17.76,19.2,528.3,0.1,4,87.22,18.42254,-2.497985,-7374.96,0.8973246,470.6865,468.67,25985.2,41.04,38,61.94,49.02,190,0
2/29/2024,12:59:36,MP_010,1,8,AFC2FF041FF----------1FF------,,476.1446,475.9147,-0.4841205,4.90E-02,13216.54,13216.13,706.6701,11428.9,1143.27,98.595,2426,1892,19.98,19.91,19.2,19.54,0,0.2,4,76.43,15.69878,-0.3720474,-42195.64,-8.240941,476.3826,476.41,23938.4,0,0,0,0,0,0
2/29/2024,13:09:41,MP_010,1,8,AFC2FF041FF----------1FF------,,475.762,475.7848,-0.4841205,-4.967204,13143.75,13152.14,706.6701,13133.44,1137.87,98.591,2425,1892,19.99,19.89,17.64,19.16,528.3,0.2,4,84.16,18.13896,-2.085364,-8698.222,-2.17338,472.4961,471.35,25578.9,45.36,42,68.46,54.18,210,0
