Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/12/2024,10:08:06,ZPc010,0,8,AFF2FF041FF----------1FF------,,464.4294,464.1666,-0.2487378,-0.2487378,13608.74,13614.93,331.5877,331.5877,1203.92,98.499,2113,1791,14.99,15,16.99,14.33,4.6,0.1,4,51.31,,,,,,463.83,13947,0,0,0,0,0,0
2/12/2024,10:30:40,MP_010,1,8,AFF2FF041FF----------1FF------,,470.3298,468.8717,-0.2487378,-7.327048,13604.63,13599.33,331.5877,7369.669,1194.76,98.541,2168,1824,14.98,14.95,17.13,14.09,544,0.2,4,89.48,10.73252,-3.467407,-3095.258,5.617301,466.9121,461.57,20637.4,37.8,35,57.05,45.15,175,0
2/12/2024,10:37:22,MP_010,1,8,AFF2FF041FF----------1FF------,,470.6717,470.2369,-0.2487378,12.81097,13624.32,13620.04,331.5877,7434.19,1193.5,98.547,2180,1831,14.97,14.97,19.55,14.26,0.2,0.3,4,89.82,10.82038,-3.533292,-3062.408,-24.71179,473.2487,483.2,20722.6,0,0,0,0,0,0
2/12/2024,10:52:07,MP_010,1,8,AFF2FF041FF----------1FF------,,470.5128,471.5195,-0.2487378,11.69476,13621.62,13614.56,331.5877,7574.06,1190.98,98.566,2206,1846,14.99,14.99,20.87,14.33,0.2,0.2,4,89.71,11.01172,-3.647644,-3018.859,-23.10647,474.4417,483.66,20857,0,0,0,0,0,0
2/12/2024,11:00:31,MP_010,1,8,AFF2FF041FF----------1FF------,,471.7235,472.0609,-0.2487378,-10.87354,13597.56,13610.89,331.5877,7628.457,1192.71,98.566,2211,1845,14.99,15,17.02,14.04,504.5,0.2,4,89.48,11.1111,-3.688854,-3012.072,10.71254,469.7307,461.5,20907.8,48.6,45,73.35,58.05,225,0
2/12/2024,11:13:10,MP_010,1,8,AFF2FF041FF----------1FF------,,469.5597,469.9245,-0.2487378,12.35344,13596.28,13603.18,331.5877,7743.403,1192.81,98.581,2225,1858,14.99,14.99,19.78,14.29,0.5,0.3,4,89.48,11.28833,-3.815527,-2958.524,-24.23681,472.5806,482.52,21015,0,0,0,0,0,0
2/12/2024,11:21:23,MP_010,1,8,AFF2FF041FF----------1FF------,,471.4129,470.8732,-0.2487378,-13.05713,13610.19,13621.5,331.5877,7775.195,1194.08,98.597,2229,1856,14.99,15.03,16.84,14.03,521.3,0.2,4,89.45,11.3494,-3.817331,-2973.125,13.91967,468.07,458.01,21065.1,54,50,81.5,64.5,250,0
2/12/2024,11:38:44,MP_010,1,8,AFF2FF041FF----------1FF------,,470.8808,470.3442,-0.2487378,11.42853,13610.53,13608.62,331.5877,7793.461,1193.66,98.619,2238,1864,14.99,14.96,20.14,14.29,0.1,0.4,4,89.4,11.37327,-3.910202,-2908.614,-22.90393,472.515,481.89,21070.5,0,0,0,0,0,0
2/12/2024,11:46:15,MP_010,1,8,AFF2FF041FF----------1FF------,,469.12,469.5173,-0.2487378,-12.71584,13623.51,13633.16,331.5877,7813.958,1195.4,98.613,2237,1864,14.99,14.97,16.81,14.05,518.1,0.2,4,89.35,11.42173,-3.943011,-2896.703,13.40857,467.1251,457.06,21115.5,41.04,38,61.94,49.02,190,0
2/12/2024,12:03:42,MP_010,1,8,AFF2FF041FF----------1FF------,,471.7738,471.6066,-0.2487378,11.30856,13583.5,13592.76,331.5877,7899.966,1200.95,98.619,2240,1865,14.99,14.97,19.89,14.29,0.2,0.3,4,89.48,11.60719,-3.983189,-2914.045,-22.95727,473.7957,483.11,21161.1,0,0,0,0,0,0
