date,time,weight,
2/12/2024,10:30,67.55,
2/12/2024,10:30,67.55,
2/12/2024,11:00,66.98,
2/12/2024,11:00,66.98,
2/12/2024,11:30,66.38,
2/12/2024,11:30,66.38,
2/12/2024,11:45,65.82,
2/12/2024,11:45,65.82,
2/12/2024,12:05,64.86,
2/12/2024,12:20,64.86,
2/12/2024,12:45,64.22,
2/12/2024,12:45,64.22,
2/12/2024,13:09,63.07,
2/12/2024,13:30,63.07,
2/12/2024,14:15,61.89,
2/12/2024,14:30,61.89,
2/12/2024,15:00,61.23,
2/12/2024,15:00,61.23,
2/12/2024,15:30,60.63,
2/12/2024,15:30,60.63,
2/12/2024,16:00,59.84,
2/12/2024,16:00,59.84,
2/12/2024,17:00,58.12,
2/12/2024,17:00,58.12,
2/13/2024,10:30,58.99,
2/13/2024,10:30,58.99,
2/13/2024,10:41,NA,
2/13/2024,10:53,NA,
2/13/2024,11:10,58.16,
2/13/2024,13:40,57.77,
2/13/2024,14:07,57.28,
2/13/2024,14:07,57.28,
2/13/2024,14:40,56.5,
2/13/2024,14:40,56.5,
2/13/2024,15:15,55.88,
2/13/2024,15:15,55.88,
2/13/2024,15:50,55.14,
2/13/2024,15:50,55.14,
2/13/2024,16:30,54.28,
2/13/2024,16:30,54.28,
2/14/2024,10:45,53.01,
2/14/2024,10:45,53.01,
2/14/2024,11:45,52.03,
2/14/2024,11:45,52.03,
2/14/2024,12:25,51.45,
2/14/2024,12:25,51.45,
2/14/2024,13:15,50.73,
2/14/2024,13:15,50.73,
2/14/2024,14:05,50.06,
2/14/2024,14:05,50.06,
2/14/2024,14:50,49.34,
2/14/2024,14:50,49.34,
2/14/2024,15:30,48.7,
2/14/2024,15:30,48.7,
2/14/2024,16:10,48.09,
2/14/2024,16:10,48.09,
2/14/2024,16:50,47.39,
2/14/2024,16:50,47.39,
2/14/2024,17:25,46.87,
2/14/2024,17:25,46.87,
2/15/2024,10:35,44.91,
2/15/2024,10:35,44.91,
2/15/2024,11:30,44.13,
2/15/2024,11:30,44.13,
2/15/2024,12:10,43.72,
2/15/2024,12:10,43.72,
2/15/2024,12:45,57.9,
2/15/2024,13:00,57.9,
2/15/2024,13:15,57.9,
2/15/2024,13:30,57.9,
2/15/2024,13:40,56.85,
2/15/2024,14:00,59.4,
2/15/2024,14:15,57.69,
2/15/2024,15:40,60.06,
2/15/2024,15:55,60.06,
2/15/2024,16:05,60.06,
2/15/2024,16:20,59.02,
2/15/2024,16:30,59.02,
2/15/2024,16:40,59.02,
2/15/2024,16:50,57.95,
2/16/2024,10:40,61.1,
2/16/2024,10:56,61.1,
2/16/2024,11:10,61.1,
2/16/2024,11:22,59.89,
2/16/2024,11:35,59.89,
2/16/2024,11:45,59.89,
2/16/2024,11:55,58.46,
2/16/2024,13:01,59.31,
2/16/2024,13:13,59.31,
2/16/2024,13:55,60.77,
2/16/2024,14:08,60.77,
2/16/2024,14:20,59.98,
2/16/2024,14:35,59.98,
2/16/2024,14:40,59.98,
2/16/2024,15:00,59.98,
2/16/2024,15:55,56.49,
